city_id,city
1,les Escaldes
2,Andorra la Vella
3,Umm al Qaywayn
4,Ras al-Khaimah
5,Khawr Fakk?n
6,Dubai
7,Dibba Al-Fujairah
8,Dibba Al-Hisn
9,Sharjah
10,Ar Ruways
11,Al Fujayrah
12,Al Ain
13,Ajman
14,Adh Dhayd
15,Abu Dhabi
16,Zaranj
17,Taloqan
18,Sh?n?an?
19,Shibirgh?n
20,Shahrak
21,Sar-e Pul
22,Sang-e Ch?rak
23,A?bak
24,Rust?q
25,Qarq?n
26,Qar?wul
27,Pul-e Khumr?
28,Paghm?n
29,Nahr?n
30,Maymana
31,Mehtar L?m
32,Maz?r-e Shar?f
33,Lashkar G?h
34,Kushk
35,Kunduz
36,Kh?st
37,Khulm
38,Kh?sh
39,Khanabad
40,Karukh
41,Kandah?r
42,Kabul
43,Jal?l?b?d
44,Jabal os Saraj
45,Her?t
46,Ghormach
47,Ghazni
48,Gereshk
49,Gardez
50,Fayzabad
51,Farah
52,Kafir Qala
53,Charikar
54,Baraki Barak
55,B?my?n
56,Balkh
57,Baghl?n
58,?rt Khw?jah
59,?sm?r
60,Asad?b?d
61,Andkh?y
62,B?z?rak
63,Markaz-e Woluswal?-ye ?ch?n
64,Saint John’s
65,The Valley
66,Sarandë
67,Kukës
68,Korçë
69,Gjirokastër
70,Elbasan
71,Burrel
72,Vlorë
73,Tirana
74,Shkodër
75,Patos Fshat
76,Lushnjë
77,Lezhë
78,Laç
79,Kuçovë
80,Krujë
81,Kavajë
82,Fier-Çifçi
83,Fier
84,Durrës
85,Berat
86,Kapan
87,Goris
88,Hats’avan
89,Artashat
90,Ararat
91,Yerevan
92,Ejmiatsin
93,Step’anavan
94,Spitak
95,Sevan
96,Masis
97,Vanadzor
98,Gavarr
99,Hrazdan
100,Armavir
101,Gyumri
102,Ashtarak
103,Abovyan
104,Saurimo
105,Lucapa
106,Luau
107,Uíge
108,Soio
109,Nzeto
110,N’dalatando
111,Mbanza Congo
112,Malanje
113,Luanda
114,Caxito
115,Cabinda
116,Sumbe
117,Namibe
118,Menongue
119,Luena
120,Lubango
121,Longonjo
122,Lobito
123,Cuito
124,Huambo
125,Catumbela
126,Catabola
127,Camacupa
128,Caluquembe
129,Caála
130,Benguela
131,Zárate
132,Villa Ortúzar
133,Villa Ocampo
134,Villa Lugano
135,Villaguay
136,Villa Gesell
137,Tigre
138,Tandil
139,San Vicente
140,Santo Tomé
141,Santa Elena
142,San Pedro
143,San Luis del Palmar
144,San Lorenzo
145,San Javier
146,San Isidro
147,Saladas
148,Retiro
149,Resistencia
150,Reconquista
151,Quilmes
152,Puerto Rico
153,Puerto Iguazú
154,Puerto Esperanza
155,Puerto Eldorado
156,Posadas
157,Pontevedra
158,Pirané
159,Paso de los Libres
160,Oberá
161,Necochea
162,Morón
163,Monte Caseros
164,Montecarlo
165,Mercedes
166,Mercedes
167,Mar del Plata
168,Luján
169,La Plata
170,La Paz
171,Jardín América
172,Gualeguaychú
173,Gualeguay
174,Goya
175,Gobernador Ingeniero Valentín Virasoro
176,General José de San Martín
177,Garupá
178,Formosa
179,Fontana
180,Federal
181,Esquina
182,El Soberbio
183,Dolores
184,Curuzú Cuatiá
185,Corrientes
186,Concordia
187,Concepción del Uruguay
188,Colegiales
189,Chajarí
190,Campana
191,Buenos Aires
192,Barranqueras
193,Azul
194,Avellaneda
195,Aristóbulo del Valle
196,Zapala
197,Yerba Buena
198,Villa Regina
199,Villa Paula de Sarmiento
200,Villa Nueva
201,Villa María
202,Villa Dolores
203,Villa Constitución
204,Villa Carlos Paz
205,Villa Ángela
206,Villa Allende
207,Viedma
208,Victoria
209,Vera
210,Venado Tuerto
211,Veinticinco de Mayo
212,Ushuaia
213,Unquillo
214,Tres Isletas
215,Tres Arroyos
216,Trelew
217,Termas de Río Hondo
218,Tartagal
219,Tafí Viejo
220,Sunchales
221,Santo Tomé
222,Santiago del Estero
223,Santa Rosa
224,Santa Lucía
225,Santa Fe de la Vera Cruz
226,San Salvador de Jujuy
227,San Ramón de la Nueva Orán
228,San Rafael
229,San Pedro
230,San Nicolás de los Arroyos
231,San Miguel de Tucumán
232,San Martín de los Andes
233,San Martín
234,San Luis
235,San Justo
236,San Juan
237,San José de Jáchal
238,San Jorge
239,San Francisco
240,San Fernando del Valle de Catamarca
241,San Antonio Oeste
242,Salta
243,Rufino
244,Rosario
245,Río Tercero
246,Río Segundo
247,Río Gallegos
248,Río Cuarto
249,Río Ceballos
250,Rawson
251,Rafaela
252,Quitilipi
253,Punta Alta
254,Puerto Madryn
255,Presidencia Roque Sáenz Peña
256,Pocito
257,Plottier
258,Pergamino
259,Pérez
260,Paraná
261,Palpalá
262,Olavarría
263,Nueve de Julio
264,Neuquén
265,Morteros
266,Monteros
267,Mendoza
268,Marcos Juárez
269,Machagai
270,Lincoln
271,Libertador General San Martín
272,Las Breñas
273,La Rioja
274,La Falda
275,La Calera
276,Laboulaye
277,Junín
278,Joaquín V. González
279,Jesús María
280,Granadero Baigorria
281,Gobernador Gálvez
282,General Villegas
283,General Roca
284,General Pinedo
285,General Pico
286,General Enrique Mosconi
287,Gálvez
288,Firmat
289,Famaillá
290,Esquel
291,Esperanza
292,Embarcación
293,Embalse
294,El Bolsón
295,Diamante
296,Deán Funes
297,Cutral-Có
298,Cruz del Eje
299,Crespo
300,Cosquín
301,Coronel Suárez
302,Coronda
303,Córdoba
304,Comodoro Rivadavia
305,Cipolletti
306,Cinco Saltos
307,Chivilcoy
308,Chimbas
309,Chilecito
310,Charata
311,Chacabuco
312,Centenario
313,Caucete
314,Catriel
315,Castelli
316,Casilda
317,Carcarañá
318,Capitán Bermúdez
319,Cañada de Gómez
320,Caleta Olivia
321,Bell Ville
322,Bella Vista
323,Bahía Blanca
324,Arroyo Seco
325,Arroyito
326,Añatuya
327,Alta Gracia
328,Allen
329,Alderetes
330,Albardón
331,Aguilares
332,Villa Santa Rita
333,Villa Mercedes
334,San Carlos de Bariloche
335,Adrogué
336,Pago Pago
337,Wolfsberg
338,Wiener Neustadt
339,Vienna
340,Wels
341,Weinzierl bei Krems
342,Villach
343,Traun
344,Traiskirchen
345,Ternitz
346,Steyr
347,Spittal an der Drau
348,Schwechat
349,Sankt Pölten
350,Salzburg
351,Saalfelden am Steinernen Meer
352,Mödling
353,Lustenau
354,Linz
355,Leonding
356,Leoben
357,Kufstein
358,Krems an der Donau
359,Klosterneuburg
360,Klagenfurt am Wörthersee
361,Kapfenberg
362,Innsbruck
363,Hallein
364,Graz
365,Feldkirch
366,Dornbirn
367,Bregenz
368,Braunau am Inn
369,Baden
370,Amstetten
371,Ansfelden
372,Whyalla
373,Rockingham
374,Prospect
375,Port Hedland
376,Perth
377,Murray Bridge
378,Mount Isa
379,Morphett Vale
380,Mandurah
381,Kwinana
382,Kalgoorlie
383,Gosnells
384,Geraldton
385,Gawler
386,Fremantle
387,Darwin
388,Busselton
389,Bunbury
390,Armadale
391,Alice Springs
392,Albany
393,Adelaide
394,Woodridge
395,Wodonga
396,Werribee
397,Warrnambool
398,Wantirna South
399,Wangaratta
400,Wagga Wagga
401,Traralgon
402,Townsville
403,Toowoomba
404,Thornbury
405,Thomastown
406,Tarneit
407,Taree
408,Tamworth
409,Sydney
410,Surfers Paradise
411,Sunnybank
412,Sunbury
413,Port Stephens
414,Springvale
415,Southport
416,South Grafton
417,Shepparton
418,Seaford
419,Saint Kilda
420,Saint Albans
421,Rowville
422,Rockhampton
423,Richmond
424,Reservoir
425,Queanbeyan
426,Quakers Hill
427,Preston
428,Port Macquarie
429,Point Cook
430,Pakenham South
431,Orange
432,Nowra
433,Northcote
434,Noble Park
435,Newcastle
436,Nerang
437,Narre Warren
438,Narangba
439,Mulgrave
440,Mount Martha
441,Mount Gambier
442,Mount Eliza
443,Mosman
444,Mornington
445,Morayfield
446,Moe
447,Mill Park
448,Mildura
449,Melton
450,Melbourne
451,Maryborough
452,Marrickville
453,Maroubra
454,Maitland
455,Mackay
456,Liverpool
457,Lismore
458,Lilydale
459,Launceston
460,Lara
461,Langwarrin
462,Lalor
463,Keysborough
464,Kew
465,Katoomba
466,Hornsby
467,Hobart
468,Hawthorn South
469,Hampton Park
470,Griffith
471,Greensborough
472,Granville
473,Goulburn
474,Gold Coast
475,Glenroy
476,Glenferrie
477,Gladstone
478,Geelong
479,Frankston East
480,Frankston
481,Forster
482,Essendon
483,Epping
484,Epping
485,Engadine
486,Eltham
487,Echuca
488,Earlwood
489,Dubbo
490,Doncaster East
491,Doncaster
492,Devonport
493,Deer Park
494,Deception Bay
495,Dandenong
496,Cronulla
497,Cranbourne
498,Cranbourne
499,Craigieburn
500,Coffs Harbour
501,Coburg
502,Clayton
503,Wollongong
504,Cessnock
505,Castle Hill
506,Carrum Downs
507,Carnegie
508,Carlingford
509,Caringbah
510,Canberra
511,Camberwell
512,Caloundra
513,Cairns
514,Caboolture
515,Burnie
516,Bundaberg
517,Buderim
518,Brunswick
519,Broken Hill
520,Brisbane
521,Boronia
522,Blacktown
523,Berwick
524,Bendigo
525,Baulkham Hills
526,Bathurst
527,Banora Point
528,Bankstown
529,Ballarat
530,Auburn
531,Ashfield
532,Armidale
533,Albury
534,South Brisbane
535,Cheltenham
536,Randwick
537,Dee Why
538,Umina
539,Palmerston
540,Bracken Ridge
541,North Ryde
542,Hoppers Crossing
543,Logan City
544,Carindale
545,Paramatta
546,Ferntree Gully
547,City of Parramatta
548,Adelaide Hills
549,Canning Vale
550,Glenmore Park
551,Glen Iris
552,Balwyn North
553,Malvern East
554,Brighton East
555,Booval
556,St Albans
557,Endeavour Hills
558,Taylors Lakes
559,Roxburgh Park
560,Wyndham Vale
561,Willetton
562,Thornlie
563,Hillside
564,Bundoora
565,Forest Lake
566,Sunnybank Hills
567,Narre Warren South
568,Dandenong North
569,Frankston South
570,Sunshine West
571,Altona Meadows
572,West Pennant
573,Oranjestad
574,Babijn
575,Angochi
576,Mariehamn
577,Xankandi
578,?hm?db?yli
579,Shushi
580,Salyan
581,Saatl?
582,Neftçala
583,Nakhchivan
584,Lankaran
585,Imishli
586,Fizuli
587,Dzhalilabad
588,Pushkino
589,Beylagan
590,Astara
591,?irvan
592,A?dam
593,Zaqatala
594,Zabrat
595,Yevlakh
596,Yelenendorf
597,Xaçmaz
598,Ujar
599,Terter
600,Sumqay?t
601,Qaraçuxur
602,Shamkhor
603,Shamakhi
604,Sheki
605,Sabunçu
606,Sabirabad
607,Qusar
608,Quba
609,Hac?qabul
610,Qazax
611,Hac? Zeynalabdin
612,Mingelchaur
613,Ma?ta?a
614,Mardakan
615,Lökbatan
616,Kyurdarmir
617,Khirdalan
618,Yeni Suraxan?
619,Geoktschai
620,Hövsan
621,Ganja
622,Divichibazar
623,Buzovna
624,Biny Selo
625,Barda
626,Bilajari
627,Baku
628,Amirdzhan
629,Aghsu
630,A?da?
631,Agdzhabedy
632,Bak?xanov
633,Zenica
634,Visoko
635,Velika Kladuša
636,Tuzla
637,Trebinje
638,Travnik
639,Sarajevo
640,Prijedor
641,Mostar
642,Grada?ac
643,Gra?anica
644,Goražde
645,Doboj
646,Cazin
647,Bugojno
648,Br?ko
649,Bosanska Krupa
650,Bijeljina
651,Biha?
652,Banja Luka
653,Konjic
654,Bridgetown
655,Th?kurgaon
656,Tekn?f
657,Tungi
658,Sylhet
659,Doh?r
660,Jam?lpur
661,Shibganj
662,S?tkhira
663,Sir?jganj
664,Netrakona
665,Narsingdi
666,Sandw?p
667,Sh?hz?dpur
668,R?mganj
669,R?jsh?hi
670,Pirojpur
671,Panchagarh
672,Patiya
673,Parbatipur
674,N?r?yanganj
675,N?lchiti
676,N?garpur
677,Nageswari
678,Mymensingh
679,Mukt?g?cha
680,Mirz?pur
681,Maulavi B?z?r
682,Morrelgonj
683,Mehendiganj
684,Mathba
685,Lalmanirhat
686,L?ksh?m
687,Comilla
688,Rangpur
689,Kushtia
690,K?l?ganj
691,Jhingerg?cha
692,Joypur H?t
693,Ishurdi
694,Habiganj
695,Gaurnadi
696,Gafargaon
697,Feni
698,R?ipur
699,Sarankhola
700,Dhaka
701,Chilm?ri
702,Chh?galn?iya
703,L?lmohan
704,Khagrachhari
705,Chh?tak
706,Bh?tp?ra Abhaynagar
707,Bher?m?ra
708,Bhairab B?z?r
709,B?ndarban
710,K?lia
711,Baniachang
712,B?jitpur
713,Badarganj
714,Narail
715,Tungip?ra
716,Sarish?b?ri
717,Sakhipur
718,Raoj?n
719,Phultala
720,P?lang
721,P?r Naogaon
722,Nab?nagar
723,Lakshm?pur
724,Kesabpur
725,H?j?ganj
726,Far?dpur
727,Din?jpur
728,Uttar Char Fasson
729,Chittagong
730,Char Bhadr?san
731,Bera
732,Burh?nuddin
733,S?tkania
734,Cox’s B?z?r
735,Khulna
736,Bhola
737,Baris?l
738,Jessore
739,P?bna
740,T?ng?il
741,Bogra
742,P?rgaaj
743,Naw?bganj
